filename,question,result,feedback
noaa_10541_DS1.pdf,What is the application of the mission?,- **Mapping known shipwreck sites and examining potential historic wreck sites in Lake Huron**,1
noaa_46163_DS1.pdf,What is the application of the mission?,- **Scientific data collection and temperature profiling**,1
noaa_9722_DS1.pdf,What is the application of the mission?,- **Scientific data collection and temperature profiling**,1
noaa_20036_DS1.pdf,What is the application of the mission?,- **Scientific data collection in a freshwater lake**,1
noaa_33880_DS1.pdf,What is the application of the mission?,- *Obtain scientific data of a temperature profile in a freshwater lake*,1
noaa_50339_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_41602_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_27817_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_50752_DS1.pdf,What is the application of the mission?,- **Scientific data collection in a fresh water lake**,1
noaa_61923_DS1.pdf,What is the application of the mission?,- **Obtain scientific data of temperature profile in a freshwater lake**,1
noaa_17271_DS1.pdf,What is the application of the mission?,"- **Ocean bottom surveys, mapping, and scientific phenomena examination**",1
noaa_21362_DS1.pdf,What is the application of the mission?,- **Scientific data collection of temperature profile in a freshwater lake**,1
noaa_29522_DS1.pdf,What is the application of the mission?,- **Ocean surveys and scientific data collection**,1
noaa_29521_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_37528_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_56115_DS1.pdf,What is the application of the mission?,- **Temperature profile data collection in a freshwater lake**,1
noaa_10620_DS1.pdf,What is the application of the mission?,- **Oceanographic surveys and data collection**,1
noaa_12051_DS1.pdf,What is the application of the mission?,"- **Ocean bottom surveys, mapping, temperature profiles, object identification, and scientific phenomena examination**",1
noaa_50160_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_10612_DS1.pdf,What is the application of the mission?,- **Temperature profile data collection in a freshwater lake**,1
noaa_64474_DS1.pdf,What is the application of the mission?,- **To obtain scientific data consisting of a temperature profile over a large area in a fresh water lake with a minimum depth of 200 feet.**,1
noaa_14853_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_32908_DS1.pdf,What is the application of the mission?,- **Oceanographic data collection**,1
noaa_9691_DS1.pdf,What is the application of the mission?,- **Obtaining scientific data of a temperature profile in a fresh water lake.**,1
noaa_30911_DS1.pdf,What is the application of the mission?,- **To obtain scientific data consisting of a temperature profile over a large area in a fresh water lake with a minimum depth of 200 feet.**,1
noaa_28170_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_27816_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_30954_DS1.pdf,What is the application of the mission?,- **Ocean bottom surveys and mapping**,1
noaa_9420_DS1.pdf,What is the application of the mission?,- **Scientific data collection in fresh water lake**,1
noaa_21363_DS1.pdf,What is the application of the mission?,- **Temperature profile in fresh water lake**,1
