filename,question,result
noaa_10541_DS1.pdf,What is vehicle vessel name? ,*R/V Storm*
noaa_46163_DS1.pdf,What is vehicle vessel name? ,- **Project SLAVe**
noaa_9722_DS1.pdf,What is vehicle vessel name? ,- **SLAVe (Submersible Long-range Underwater Autonomous Vehicle)**
noaa_20036_DS1.pdf,What is vehicle vessel name? ,- **SLAVe (Submersible Long-range Underwater Autonomous Vehicle)**
noaa_33880_DS1.pdf,What is vehicle vessel name? ,- **SLAVe (Submersible Long-range Underwater Autonomous Vehicle)**
noaa_50339_DS1.pdf,What is vehicle vessel name? ,- **SLAVe (Submersible Long-range Underwater Autonomous Vehicle)**
noaa_41602_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_27817_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_61923_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_17271_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_21362_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_29522_DS1.pdf,What is vehicle vessel name? ,*Seirios*
noaa_29521_DS1.pdf,What is vehicle vessel name? ,*Unknown*
noaa_37528_DS1.pdf,What is vehicle vessel name? ,"*The name of the ship is yet to be confirmed, but it may be the bow of the Nornes.*"
noaa_56115_DS1.pdf,What is vehicle vessel name? ,*The name of the ship may be the bow of the Nornes.*
noaa_10620_DS1.pdf,What is vehicle vessel name? ,*The name of the ship is yet to be confirmed.*
noaa_12051_DS1.pdf,What is vehicle vessel name? ,**Nornes**
US8881665.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_10612_DS1.pdf,What is vehicle vessel name? ,*Deployment and Recovery Vessel*
noaa_64474_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_14853_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
website.txt,What is vehicle vessel name? ,
noaa_24616_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_32908_DS1.pdf,What is vehicle vessel name? ,**Nornes**
noaa_9691_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_30911_DS1.pdf,What is vehicle vessel name? ,"*The name of the vessel is not confirmed, but it may be the bow of the Nornes.*"
noaa_28170_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_27816_DS1.pdf,What is vehicle vessel name? ,*The name of the vessel might be the Nornes.*
noaa_30954_DS1.pdf,What is vehicle vessel name? ,*The Nornes*
noaa_9420_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
noaa_21363_DS1.pdf,What is vehicle vessel name? ,*I don't know.*
