eval,pclass,similarity,scenario,metric
1,1,0.9581233,1,precision
1,1,0.96038735,1,recall
1,1,0.959254013108537,1,F1
1,1,0.9382808,1,precision
1,1,0.94510174,1,recall
1,1,0.941678938573038,1,F1
1,1,0.9403909,1,precision
1,1,0.9416842,1,recall
1,1,0.941037079450899,1,F1
1,1,0.90749776,1,precision
1,1,0.92090213,1,recall
1,1,0.914150790240798,1,F1
1,1,0.90691173,1,precision
1,1,0.8998451,1,recall
1,1,0.903364602216588,1,F1
1,1,0.9030389,1,precision
1,1,0.89657116,1,recall
1,1,0.899793418539629,1,F1
2,2,0.96038735,2,precision
2,2,0.9581233,2,recall
2,2,0.959254013108537,2,F1
2,2,0.94524723,2,precision
2,2,0.94949126,2,recall
2,2,0.947364507017583,2,F1
2,2,0.9465672,2,precision
2,2,0.94374675,2,recall
2,2,0.945154858687294,2,F1
2,2,0.9115422,2,precision
2,2,0.9174138,2,recall
2,2,0.914468563380656,2,F1
2,2,0.9125365,2,precision
2,2,0.9016218,2,recall
2,2,0.907046356078877,2,F1
2,2,0.9096906,2,precision
2,2,0.8983552,2,recall
2,2,0.90398733090578,2,F1
3,3,0.94510174,3,precision
3,3,0.9382808,3,recall
3,3,0.941678938573038,3,F1
3,3,0.94949126,3,precision
3,3,0.94524723,3,recall
3,3,0.947364507017583,3,F1
3,3,0.94430685,3,precision
3,3,0.93297714,3,recall
3,3,0.938607805534741,3,F1
3,3,0.9143034,3,precision
3,3,0.9152527,3,recall
3,3,0.914777778089086,3,F1
3,3,0.9163344,3,precision
3,3,0.9107159,3,recall
3,3,0.913516526507711,3,F1
3,3,0.9128724,3,precision
3,3,0.90754926,3,recall
3,3,0.910203025328594,3,F1
4,4,0.93297714,4,precision
4,4,0.94430685,4,recall
4,4,0.938607805534741,4,F1
4,4,0.94374675,4,precision
4,4,0.9465672,4,recall
4,4,0.945154858687294,4,F1
4,4,0.9416842,4,precision
4,4,0.9403909,4,recall
4,4,0.941037079450899,4,F1
4,4,0.91360956,4,precision
4,4,0.91470295,4,recall
4,4,0.91415594591301,4,F1
4,4,0.9129728,4,precision
4,4,0.91427344,4,recall
4,4,0.913622683430354,4,F1
4,4,0.91054124,4,precision
4,4,0.91106236,4,recall
4,4,0.910801769916832,4,F1
5,5,0.9152527,5,precision
5,5,0.9143034,5,recall
5,5,0.914777778089086,5,F1
5,5,0.9174138,5,precision
5,5,0.9115422,5,recall
5,5,0.914468563380656,5,F1
5,5,0.91470295,5,precision
5,5,0.91360956,5,recall
5,5,0.91415594591301,5,F1
5,5,0.92090213,5,precision
5,5,0.90749776,5,recall
5,5,0.914150790240798,5,F1
5,5,0.90372324,5,precision
5,5,0.90663344,5,recall
5,5,0.905176035461268,5,F1
5,5,0.9041882,5,precision
5,5,0.90399325,5,recall
5,5,0.90409072287506,5,F1
6,6,0.9107159,6,precision
6,6,0.9163344,6,recall
6,6,0.913516526507711,6,F1
6,6,0.9016218,6,precision
6,6,0.9125365,6,recall
6,6,0.907046356078877,6,F1
6,6,0.91427344,6,precision
6,6,0.9129728,6,recall
6,6,0.913622683430354,6,F1
6,6,0.90663344,6,precision
6,6,0.90372324,6,recall
6,6,0.905176035461268,6,F1
6,6,0.8998451,6,precision
6,6,0.90691173,6,recall
6,6,0.903364602216588,6,F1
6,6,0.9839817,6,precision
6,6,0.9814504,6,recall
6,6,0.982714390037386,6,F1
7,7,0.90754926,7,precision
7,7,0.9128724,7,recall
7,7,0.910203025328594,7,F1
7,7,0.8983552,7,precision
7,7,0.9096906,7,recall
7,7,0.90398733090578,7,F1
7,7,0.91106236,7,precision
7,7,0.9105412,7,recall
7,7,0.910801704474881,7,F1
7,7,0.90399325,7,precision
7,7,0.9041882,7,recall
7,7,0.90409072287506,7,F1
7,7,0.9814504,7,precision
7,7,0.9839817,7,recall
7,7,0.982714390037386,7,F1
7,7,0.89657116,7,precision
7,7,0.9030389,7,recall
7,7,0.899793418539629,7,F1
