eval,pclass,similarity,scenario,metric
1,1,0.998559094025262,2,Cosine
1,1,0.997727241833688,2,Cosine
1,1,0.996142190283268,2,Cosine
1,1,0.988088094095882,2,Cosine
1,1,0.979587912209737,2,Cosine
,,0.977959673357548,2,Cosine
2,2,0.996142190283268,3,Cosine
2,2,0.994991682786496,3,Cosine
2,2,0.998559094025262,3,Cosine
2,2,0.990711630281308,3,Cosine
2,2,0.976677300484464,3,Cosine
,,0.975128618158599,3,Cosine
3,3,0.997727241833688,4,Cosine
3,3,0.99792962385218,4,Cosine
3,3,0.979003859527684,4,Cosine
4,4,0.995275948927285,4,Cosine
4,4,0.984263383287307,4,Cosine
4,4,0.988452904950959,4,Cosine
,,0.977485948242708,4,Cosine
5,5,0.991702085702448,5,Cosine
5,5,0.990686025570242,5,Cosine
5,5,0.990711630281308,5,Cosine
5,5,0.993741474622092,5,Cosine
5,5,0.985502169995967,5,Cosine
5,5,0.986689947451196,5,Cosine
6,6,0.979587912209737,6,Cosine
6,6,0.979003859527684,6,Cosine
6,6,0.988452904950959,6,Cosine
6,6,0.985502169995967,6,Cosine
7,7,0.984239227905838,6,Cosine
7,7,0.977959673357548,7,Cosine
7,7,0.975128618158599,7,Cosine
7,7,0.977485948242708,7,Cosine
7,7,0.986689947451196,7,Cosine
7,7,0.984239227905838,7,Cosine
7,7,0.999363457730762,7,Cosine
