eval,pclass,similarity,scenario,metric
1,1,0.989691209090954,2,L2
1,1,1.24360643834497,2,L2
1,1,1.61379440996301,2,L2
1,1,2.36947649890559,2,L2
1,1,3.69926743603659,2,L2
1,1,3.84354200012859,2,L2
2,2,1.18697720345464,3,L2
2,2,0.989691209090954,3,L2
2,2,1.84414941920284,3,L2
2,2,2.51844253800217,3,L2
2,2,3.96181921702948,3,L2
2,2,4.090807418955,3,L2
3,3,1.24360643834497,4,L2
3,3,1.18697720345464,4,L2
3,3,1.79366056986781,4,L2
3,3,2.51843091998315,4,L2
3,3,3.76764544123026,4,L2
3,3,3.90147772070624,4,L2
4,4,2.36947649890559,5,L2
4,4,2.51844253800217,5,L2
4,4,2.04385251483701,5,L2
4,4,2.77796868122899,5,L2
4,4,2.98217085560708,5,L2
5,5,3.96181921702948,6,L2
5,5,3.76764544123026,6,L2
5,5,2.77796868122899,6,L2
5,5,3.06519315652327,6,L2
5,5,3.19457326031181,6,L2
6,6,3.84354200012859,7,L2
6,6,4.090807418955,7,L2
6,6,3.90147772070624,7,L2
6,6,2.98217085560708,7,L2
6,6,3.19457326031181,7,L2
6,6,0.638566713438035,7,L2
