eval,pclass,similarity,scenario,metric
1,1,0.009121044436749,2,Wasserstein
1,1,0.012954199610401,2,Wasserstein
1,1,0.016806096879312,2,Wasserstein
1,1,0.026385286488827,2,Wasserstein
,,0.047048546264099,2,Wasserstein
2,2,0.009121044436749,3,Wasserstein
2,2,0.014944397365828,3,Wasserstein
2,2,0.02168381609287,3,Wasserstein
2,2,0.030804383309866,3,Wasserstein
,,0.035791150495697,3,Wasserstein
3,3,0.012954199610401,4,Wasserstein
3,3,0.014944397365828,4,Wasserstein
3,3,0.012268374660835,4,Wasserstein
3,3,0.020923175682431,4,Wasserstein
,,0.028245442434733,4,Wasserstein
4,4,0.026385286488827,5,Wasserstein
4,4,0.030804383309866,5,Wasserstein
4,4,0.020923175682431,5,Wasserstein
4,4,0.014891430403016,5,Wasserstein
4,4,0.028064799723931,5,Wasserstein
,,0.021026281180033,5,Wasserstein
5,5,0.042452687901459,6,Wasserstein
5,5,0.035641437584824,6,Wasserstein
5,5,0.028064799723931,6,Wasserstein
5,5,0.020154056121101,6,Wasserstein
5,5,0.006221371358151,6,Wasserstein
6,6,0.042905893714305,7,Wasserstein
6,6,0.047048546264099,7,Wasserstein
6,6,0.035791150495697,7,Wasserstein
6,6,0.028245442434733,7,Wasserstein
6,6,0.021026281180033,7,Wasserstein
6,6,0.006221371358151,7,Wasserstein
